"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1774556083891401169","Sun Mar 31 23:58:28 +0000 2024","0","@meraaahputiiih Pemindahan ibu kota bikin kita lebih deket sama teknologi terbaru.","1774587095937696208","","meraaahputiiih","in","","0","0","0","https://x.com/emah_maulh7/status/1774587095937696208","1701808023130554368","emah_maulh7"
"1774578278285860915","Sun Mar 31 23:49:25 +0000 2024","1","@RandomWorldWar Ngebayangin beton 6 aja jebol dan itu teknologi 30thn lalu gimana yg sekarang njiir ️","1774584817306509352","","RandomWorldWar","in","Wonogiri, Indonesia","0","0","0","https://x.com/jmbtkudanil/status/1774584817306509352","1233068418783416323","jmbtkudanil"
"1774584647156162612","Sun Mar 31 23:48:44 +0000 2024","0","yang namanya apple dengan samsung kalau cas bateri paling lambat dalam alam semesta. pakai teknologi jaman perang dunia hairan aku","1774584647156162612","","","in","Batu Pahat, Johor","0","0","0","https://x.com/mimpi_duit/status/1774584647156162612","172666178","mimpi_duit"
"1774412852495007869","Sun Mar 31 23:43:55 +0000 2024","0","@panditfootball Ini artinya manejemen sepakbola ya g tidak bersistem harusnya antara PSSI AFF AFC dan FIFA menyusun jadwal kompetisi yang sinergis tidak saling mengganggu sehingga tidak ada kompetisi yang berbenturan padahal teknologi sudah maju tidak terdengar di eropa penghentian kompetensi","1774583432745717947","","panditfootball","in","","0","0","0","https://x.com/SatyaPutra53806/status/1774583432745717947","1718636607216185344","SatyaPutra53806"
"1774452645987815834","Sun Mar 31 23:42:16 +0000 2024","0","@nikoum_ @merapi_uncover biaya pembuatannya gak masuk mumgkin bro. kayaknya yg ini sdh pakai teknologi canggih. bukan kayak hasil printer warna","1774583017698422841","","nikoum_","in","","0","0","0","https://x.com/AlfaWijayanto/status/1774583017698422841","1089712773280362496","AlfaWijayanto"
"1774555822452048222","Sun Mar 31 23:23:34 +0000 2024","0","@Indonesiakuat77 Teknologi telemedicine menghubungkan pasien dan tenaga medis dengan aman","1774578313883004990","","Indonesiakuat77","in","","0","0","0","https://x.com/omar_gunawan0/status/1774578313883004990","1701138631380127744","omar_gunawan0"
"1774397802069786828","Sun Mar 31 23:17:09 +0000 2024","0","@tanyakanrl Jaman teknologi informasi pramuka seharusnya diganti dengan ekstrakurikuler Teknologi Informasi. Masuk Kuliah wajib militer","1774576696467017766","","tanyakanrl","in","","0","0","0","https://x.com/Sujiwotego212/status/1774576696467017766","1735894941254189056","Sujiwotego212"
"1774574981881725228","Sun Mar 31 23:10:20 +0000 2024","1","Berarti ini masalah gelombang sinyal y? Teknologi 5g dibikin salah satunya buat ngereduksi ini kah? Maksudnya dg gelombang yg demikian transmisi data lbh stabil gitu2 deh. Aduh g ngerti gw juga ngomong apaan wkwk Tapi akhirny paham aja kalo di tempat yg crowded bisa terjadi","1774574981881725228","","","in","Sky Town for Talk","0","0","0","https://x.com/ab______kangman/status/1774574981881725228","1576598556","ab______kangman"
"1774574902374482356","Sun Mar 31 23:10:01 +0000 2024","5","ptn! haloo sender mau nanya ini urutan yang bener yang mana ya?? A. Pil 1: Teknologi Pangan - Unpad Pil 2: Agroteknologi - Unpad Pil 3: D4 Supervisor Jaminan Mutu Pangan - IPB B. Pil 1: Teknologi Pangan - Unpad Pil 2: D4 Supervisor Jaminan Mutu Pangan - IPB Pil 3: (cont..)","1774574902374482356","","","in","RULES 👉","0","4","1","https://x.com/sbmptnfess/status/1774574902374482356","1205629250423779328","sbmptnfess"
"1774574624082461000","Sun Mar 31 23:08:55 +0000 2024","0","AMD Umumkan Teknologi Terbaru FidelityFX Super Resolusi 3.1 dan Tingkatkan Kualitas Grafis Game Anda. #idncitizen #promedia https://t.co/a9jhmUk4Fo","1774574624082461000","","","in","Kota Bandung ","0","0","0","https://x.com/idn_citizen/status/1774574624082461000","1702957163059257344","idn_citizen"
"1773999069603713223","Sun Mar 31 23:01:57 +0000 2024","0","@Miduk17 Perkembangan teknologi di jaman modern ini juga diikuti dengan perkembangan kejahatan termasuk korupsi.","1774572872037769417","","JhonSitorus_18","in","","0","0","0","https://x.com/Rimbingyan/status/1774572872037769417","1594955057199341568","Rimbingyan"
"1774405214524846123","Sun Mar 31 23:00:49 +0000 2024","4","@lynxluna Gimana om rasanya jadi programmer yang bertumbuh bareng sama teknologi yang ikut bertumbuh. Kami yg junior merasa sangat kelelahan buat ngejar pertumbuhan teknologi + memahami konsep dasar dasar dri komputer juga","1774572587001286702","","lynxluna","in","Jonggol, Indonesia","1","1","0","https://x.com/RGibranz/status/1774572587001286702","1015134476098125824","RGibranz"
"1774452680771153993","Sun Mar 31 22:59:37 +0000 2024","0","@sosmedkeras Zaman udh serba teknologi masih aj percaya takhayul","1774572286974337429","","sosmedkeras","in","","0","0","0","https://x.com/DerryPriambodo/status/1774572286974337429","1655706399555588096","DerryPriambodo"
"1774572188420759617","Sun Mar 31 22:59:14 +0000 2024","0","Dipikir-pikir udah lama juga ogut gak beli jam tangan. Saking udah mentok belum ada jam tangan analog yg ngalahin teknologi jam yg terakhir ogut beli.","1774572188420759617","","","in","Jakarta","0","1","0","https://x.com/zamahsyar/status/1774572188420759617","121030663","zamahsyar"
"1774374338252423175","Sun Mar 31 22:55:41 +0000 2024","0","@erlanmauludi Wowwww teknologi pling mutakhir edit ni ya...","1774571297391141010","","erlanmauludi","in","Bondowoso, Indonesia","0","0","0","https://x.com/Zaam_31/status/1774571297391141010","1463860755975970816","Zaam_31"
"1774570901364969625","Sun Mar 31 22:54:08 +0000 2024","0","4. Hitung nominal dana yang harus kamu tabung demi masa depanmu 5. Manfaatkan teknologi seperti menggunakan excel spreadsheet aplikasi keuangan dll 6. Evaluasi keuanganmu secara rutin misal bulanan 6 bulan sekali atau setiap tahun","1774570904540078460","","febians25","in","Jakarta, Indonesia","0","0","0","https://x.com/febians25/status/1774570904540078460","1009095326588809218","febians25"
"1774567780542714096","Sun Mar 31 22:41:43 +0000 2024","0","Gue rasa beruntung itu bukan di masa kecil tanpa gadget tapi kita tumbuh di masa informasi belum semudah sekarang dan orang tua kita juga ga sepenuhnya atau sama sekali ngga melek teknologi. Anak sekarang tumbuh dengan banyak informasi dan minim guidance itu bedanya.","1774567780542714096","","","in","Bogor, Indonesia","0","0","0","https://x.com/parjoalexander/status/1774567780542714096","1474329438","parjoalexander"
"1774563172890075542","Sun Mar 31 22:40:23 +0000 2024","0","@unokensho Kayanya dia gamau relain data save nya ilang begitu aja mana waktu itu itungannya belum ada teknologi yg kek sekarang yg bisa copy data format sav nya ke satu memori ke memori lain MENDING BELI SIH MAKANYA MINJEM MAH KL KAGA RELA YA JANGAN SAMPAI ENDING MAINNYA ","1774567444029251888","","unokensho","in","Banjarmasin, South Kalimantan ","0","1","0","https://x.com/zzlevanzzle/status/1774567444029251888","986876668613545986","zzlevanzzle"
"1774290508615159875","Sun Mar 31 22:36:00 +0000 2024","0","@tanyarlfes Hp baru masuk kota ku waktu aku umur 18tahun. Generasi yg paling merasakan lompatan teknologi yg kuar biasa.","1774566341019840765","","tanyarlfes","in","Negara para bdbh","0","0","0","https://x.com/syskateddy/status/1774566341019840765","64613796","syskateddy"
"1774351330825670851","Sun Mar 31 22:32:05 +0000 2024","0","@UnitedI32319031 @tvOneNews Nang kan ada teknologi buat ngasih tau... puppet leader vol : 2 Who is master of puppet?","1774565354867745279","","UnitedI32319031","in","","0","0","0","https://x.com/wahyudi8579/status/1774565354867745279","482211659","wahyudi8579"
"1774468195589747020","Sun Mar 31 17:42:07 +0000 2024","0","@AgusMagelangan Beberapa kiat agar bahasa daerah dapat eksis adalah (1) menjadikan bhs daerah sbg bahasa yg keren utk digunakan (2) bhs daerah harus punya daya ekonomi (bisa buat cari duit) dan (3) bhs daerah harus dikembangkan utk berbagai bidang kehidupan (olahraga kedokteran teknologi)","1774492385210450308","","icukprayogi","in","Pare-Lamongan-Jogja-Semarang","0","0","0","https://x.com/icukprayogi/status/1774492385210450308","58825602","icukprayogi"
"1774483950934823044","Sun Mar 31 17:40:08 +0000 2024","0","@arya_the_ok fakmen bahkan aku bawa koperpun bisa nambah 2-3 tas tas pertama isi lengtop tas kedua isi snack selimut atau essentials lainnya tas ketiga tergantung sikon ","1774491884490289561","","arya_the_ok","in","any pronouns","0","1","0","https://x.com/_TYLEN0L/status/1774491884490289561","1527366515808317440","_TYLEN0L"
"1774491118182498538","Sun Mar 31 17:37:05 +0000 2024","0","ku dh dighosting mas mas teknologi informasi 2x orang yang berbeda luv","1774491118182498538","","","in","RULES","0","1","0","https://x.com/UGM_FESS/status/1774491118182498538","1277749122296983552","UGM_FESS"
"1774488946476826757","Sun Mar 31 17:28:27 +0000 2024","0","GUYS PLS ANYONE CAN HELP ME A 1. administrasi negara UNS 2. Pend. ekonomi UNS B 1. hubungan internasional UNS 2. Teknologi Pend. Unnes C 1. Administrasi negara UNS 2. Teknologi Pend. Unnes","1774488946476826757","","","in","","0","0","0","https://x.com/nadinotes/status/1774488946476826757","1494482257427714048","nadinotes"
"1774488866692772253","Sun Mar 31 17:28:08 +0000 2024","0","wkwkwk jan mau jd people pleaser ngegerakkin org buat bukber apalagi ampe nalangin dulu. udah ada teknologi gg namanya transfer ","1774488866692772253","","","in","Jawa Barat, Indonesia","0","0","0","https://x.com/aphrnodite/status/1774488866692772253","1467045854","aphrnodite"
"1774475521755344976","Sun Mar 31 17:24:57 +0000 2024","0","@bubblemandu AlhamdulilLah Tan Dd lolos Teknik Dirgantara ITERRA (Institut Teknologi Terra) MasyaAllah Tabarakallah trmksh do a nya Tan c Bamby akhirnya bs ikut jejak si Aa ","1774488065379389826","","thesixthsummer","in","20↑ any prons","0","1","0","https://x.com/asteroem/status/1774488065379389826","1574951562","asteroem"
"1774487934768660953","Sun Mar 31 17:24:26 +0000 2024","2","snm: pil 1 mat its pil 2 teknologi informasi its sbm: pil 1 mat its pil 2 mat unair","1774487934768660953","","","in","","1","0","0","https://x.com/ahmadzakiyudin_/status/1774487934768660953","874805017252843520","ahmadzakiyudin_"
"1774473337659641978","Sun Mar 31 17:20:14 +0000 2024","0","@northregulus anak fdkbd bila dibilang krisis identitas: https://t.co/ETfuON4uZo","1774486876398944502","https://pbs.twimg.com/media/GKA-VsvbYAEuV06.jpg","northregulus","in","any pronouns","0","1","0","https://x.com/_TYLEN0L/status/1774486876398944502","1527366515808317440","_TYLEN0L"
"1774275902538723765","Sun Mar 31 17:17:41 +0000 2024","0","@AndiPitopang7 Kancil bandung kepada kancil garut monitorr Padahal teknologi komunikasi makin canggih dikira masih jaman GPRS kali ya Benahi lah sistem KPI. Promosi dan mutasi agar tidak terindikasi dengan KKN dan uang. Gimana yang dibawah ga malas kerja kalau KPI nya ga jelas","1774486234989240737","","AndiPitopang7","in","","0","0","0","https://x.com/MazGondhez/status/1774486234989240737","1599338481125560321","MazGondhez"
"1774485951135502830","Sun Mar 31 17:16:34 +0000 2024","0","tapi ya kesel juga sama cewe yang diboncengin terus nyasarin dan bikin alesan gabisa baca maps kek ITU FITUR DI GMAPS BISA BANTU NGE DIRECT SELAMA DI PERJALANAN LOH NYALAIN AJA APA SUSAHNYA?????? teknologi sekarang memudahkan lohhhhh","1774485954109264167","","chibicatsaurus","in","location unknown","0","0","0","https://x.com/chibicatsaurus/status/1774485954109264167","1028859896341512192","chibicatsaurus"
"1774483822014546065","Sun Mar 31 17:13:55 +0000 2024","0","@drhoew tlonk cek wangsaf hbiez inih karena aku mw chat akwakw","1774485287915368698","","drhoew","in","any pronouns","0","1","0","https://x.com/_TYLEN0L/status/1774485287915368698","1527366515808317440","_TYLEN0L"
"1774485167694135363","Sun Mar 31 17:13:26 +0000 2024","4","city khodijah","1774485167694135363","","","in","any pronouns","0","3","0","https://x.com/_TYLEN0L/status/1774485167694135363","1527366515808317440","_TYLEN0L"
"1774482885699080397","Sun Mar 31 17:13:09 +0000 2024","1","Tapi sekarang Indonesia sudah punya teknologi tersebut. https://t.co/Af8tWFF4uu","1774485094369198293","https://pbs.twimg.com/ext_tw_video_thumb/1774484967453794304/pu/img/obz2tTEUMQix4EUK.jpg","G3nX_files","in","Tanjung Priok, Indonesia","0","2","0","https://x.com/G3nX_files/status/1774485094369198293","1347031551771430912","G3nX_files"
"1774468581063111131","Sun Mar 31 17:11:44 +0000 2024","0","@medkitzx aduh si kucieng dongo","1774484737664651633","","cggatsx","in","any pronouns","0","1","0","https://x.com/_TYLEN0L/status/1774484737664651633","1527366515808317440","_TYLEN0L"
"1774482885699080397","Sun Mar 31 17:11:37 +0000 2024","1","Dulu nikel di ekspor karena Indonesia blm memiliki teknologi untuk pengaolahannya https://t.co/6teHBfCd4M","1774484708422029608","https://pbs.twimg.com/ext_tw_video_thumb/1774484486039969792/pu/img/-_HWaPoP94rEglPP.jpg","G3nX_files","in","Tanjung Priok, Indonesia","0","2","0","https://x.com/G3nX_files/status/1774484708422029608","1347031551771430912","G3nX_files"
"1774483950934823044","Sun Mar 31 17:08:41 +0000 2024","0","ni koperku tuh beneran definisi gede tapi gak muat banyak barang. tapi kalo pergi seminggu doang bawa ni koper NYEBELIN ANYING KRN KOPERNYA KEGEDEAN","1774483969448481066","","_TYLEN0L","in","any pronouns","0","0","0","https://x.com/_TYLEN0L/status/1774483969448481066","1527366515808317440","_TYLEN0L"
"1774483950934823044","Sun Mar 31 17:08:36 +0000 2024","0","nie momen bajigur banget karena aku dilarang ortuku mudik bawa koper (karena koperku ukurannya medium lah yea) LANTAS AKU BAWA LENGTOP BAWA MODUL LAPRAK BAWA BAJU UTK SEMINGGU DLL BAGAIMANA KARENA TASKU MUATNYA GAK SEBANYAK ITU","1774483950934823044","","","in","any pronouns","0","3","0","https://x.com/_TYLEN0L/status/1774483950934823044","1527366515808317440","_TYLEN0L"
"1774483648173187483","Sun Mar 31 17:07:24 +0000 2024","2","Mungkin gak banyak yang tau kalo Sritex punya brand retail sendiri https://t.co/IpJBXAa4Si Di bayanganku pasti laris manis secara teknologi tekstil megang banget dan harga pasti bersaing. Pernah beli sarung anti nyamuknya!","1774483648173187483","","","in","","0","2","0","https://x.com/glennmars/status/1774483648173187483","25065219","glennmars"
"1774483356056727656","Sun Mar 31 17:06:15 +0000 2024","0","Laundry emg ga boleh sembarangan. Sekarang setumpuk baju gw jadi penuh dgn bulu2. Klo pake teknologi lakban untuk ngangkat si bulu hadoh2. Takes time","1774483356056727656","","","in","ÜT: -7.76094,110.37085","0","0","0","https://x.com/Angel_ya_Lydia/status/1774483356056727656","871850276","Angel_ya_Lydia"
"1773319292383281649","Sun Mar 31 17:05:10 +0000 2024","1","@NamfahPrh @txtkelas12 @ZebracrossI haloo kaaak masih bisa nggak ya?? boleh mintol cek in dong kak heheh bismillahirrahmanirrahim pil 1: kedokteran ugm pil 2: teknologi pangan ipb semogaaa adik kakak nnti juga lolos snbt pertambangan/kedokteran hewan yaa kakk aamiin","1774483083359842367","","NamfahPrh","in","(19) she they ","0","1","0","https://x.com/flamingkyu/status/1774483083359842367","1299912484334137344","flamingkyu"
"1774482367568335071","Sun Mar 31 17:02:19 +0000 2024","0","@kemendagri @Kemhan_RI @LAPAN_RI @pindad @itbofficial Jika pengembunan di dlm gudang amunisi berbahaya apakah selama ini tiada kerja sama dgn @brin_indonesia maupun lembaga teknologi yg lain utk memasang teknologi pengendali di dalam gudang amunisi ? https://t.co/0vm9fth4xk","1774482367568335071","","kemendagri","in","","0","0","0","https://x.com/knownjohan/status/1774482367568335071","908558973556580352","knownjohan"
"1774040358265241739","Sun Mar 31 16:58:46 +0000 2024","0","@tubirfess Makin banyak orang bodoh yang memamerkan kebodohan mereka. Dikata bagus apa ya bikin konten begituan. Teknologi makin canggih otak mereka makin bobrok. Sakit emang https://t.co/yYA5ZmYrZy","1774481473544040706","https://pbs.twimg.com/media/GKA5fx-bMAAMFYE.jpg","tubirfess","in","Edinburgh, Scotland","0","0","0","https://x.com/haaniyael/status/1774481473544040706","895661399266910209","haaniyael"
"1774432504466034771","Sun Mar 31 16:57:45 +0000 2024","1","@Fedianto_BEFI @uwwwooohhhh mjb bantu jawab ya kak dibalik masing masing avatar itu ada org aslinya kak. mereka pake teknologi yg namanya motion capture suit yg fungsinya buat ngedeteksi gerakan mereka. istilah gampangnya mah kayak org pake filter tp buat sebadan. jd mereka bener bener sama persis kayak-","1774481220166111429","","Fedianto_BEFI","in","MINOR/HOMOPHOBIC DNI","0","1","0","https://x.com/shawtiezt/status/1774481220166111429","1746527144380108800","shawtiezt"
"1774406531012005920","Sun Mar 31 16:52:05 +0000 2024","1","@Heraloebss Itulah perlunya Negara melindungi setiap warganya. Tidak semua teknologi harus dimanfaatkan lsg tanpa persiapan SDM. Mencerdaskan kehidupan bangsa adalah amanat pembukaan UUD 1945.","1774479794199232862","","Heraloebss","in","Indonesia","0","0","0","https://x.com/akucintaistriku/status/1774479794199232862","1577811079195160576","akucintaistriku"
"1774472252370907626","Sun Mar 31 16:44:50 +0000 2024","0","@syirups ihh seneng bgt bacanya will do! nnti mereka mau fancon jd ku bakal berisik ttg mereka/teknologi yg dipake buat concert nya xixi","1774477968255127736","","syirups","in","jkt | 20","0","1","0","https://x.com/hicroki/status/1774477968255127736","500034973","hicroki"
"1774476557790466112","Sun Mar 31 16:39:14 +0000 2024","0"," Mata Pelajaran Sains dan Teknologi: Teknik Elektro Teknik Informatika Teknik Kimia Fisika Biologi Kimia Ilmu Komputer Matematika Teknik Sipil Teknik Mesin Hubungi kami di: https://t.co/xTGOqi9fdC #jokitugas #zonauang","1774476557790466112","","","in","Yogyakarta, Indonesia","0","0","0","https://x.com/jokiinajaoke/status/1774476557790466112","1591841309882392576","jokiinajaoke"
"1774476474277580889","Sun Mar 31 16:38:54 +0000 2024","0","Layanan Joki Tugas: Bahasa Indonesia Matematika IPA/IPS Bahasa Inggris Fisika Ekonomi Kimia Sosiologi Biologi Geografi Seni Budaya Pendidikan Agama atau Etika TIK (Teknologi Informasi dan Komunikasi) Hubungi kami di: https://t.co/xTGOqi9fdC #jokitugas #zonauang","1774476474277580889","","","in","Yogyakarta, Indonesia","0","0","0","https://x.com/jokiinajaoke/status/1774476474277580889","1591841309882392576","jokiinajaoke"
"1773597422200971550","Sun Mar 31 16:37:54 +0000 2024","0","@aizatzlkbli @ikhwzul325 guni baja tu boleh toleh menoleh lah. memang teknologi baru.","1774476222942351448","","plantamadanon","in","","0","1","0","https://x.com/ftfxftfxft/status/1774476222942351448","1568104287645089792","ftfxftfxft"
"1774474334222110777","Sun Mar 31 16:33:01 +0000 2024","0","@404waves teknologi cupang ","1774474994514624957","","404waves","in","","0","1","0","https://x.com/smoothkouu/status/1774474994514624957","1274339622219157510","smoothkouu"
"1774474971743699096","Sun Mar 31 16:32:56 +0000 2024","0","Terima kasih teknologi ","1774474971743699096","","","in","","0","0","0","https://x.com/azzumaru/status/1774474971743699096","381433584","azzumaru"
"1774364779974668627","Sun Mar 31 16:31:34 +0000 2024","0","@BarcaBandidos Sedikit lebay dan pengen ketawa menurutku sampe dibuat kredit khusus buat asisten pelatih ketika pelatihnya kena suspen. Perlu bukti konkrit klo semua yg dilakuin itu mutlak keputusannya 100%. Apa teknologi skr ga mendukung buat pelatih kasih arahan di luar bench ???","1774474629647859975","","BarcaBandidos","in","Bali, Indonesia","0","0","0","https://x.com/Rsbodaryr/status/1774474629647859975","1523865523393826816","Rsbodaryr"
"1774474571472871447","Sun Mar 31 16:31:20 +0000 2024","0","Di Dunia yang penuh Teknologi dan Ilmu Melimpah ini kalo kau tetap miskin.. Kau memang Pemalas &amp; Bodoh.","1774474571472871447","","","in","","0","0","0","https://x.com/qizzbo/status/1774474571472871447","1451152417815347201","qizzbo"
"1774473553477542130","Sun Mar 31 16:27:17 +0000 2024","0","apa yg bikin nyaman di teknologi pendidikan?","1774473553477542130","","","in","","0","2","0","https://x.com/sabsebsub/status/1774473553477542130","1745035898482520064","sabsebsub"
"1774471789336486146","Sun Mar 31 16:20:17 +0000 2024","15","Awak nak jadi apa pun boleh asalkan sanggup bina skills yang diperlukan ️ Trend teknologi sekarang mereka pandang portfolio dan assessment test you saja. Dah banyak tech company tak pandang degree apa you pegang. Selagi boleh jual diri dalam portfolio jual. https://t.co/qapLEUghto","1774471789336486146","https://pbs.twimg.com/media/GKAwr3sakAA60xW.jpg","","in","Hire me →","0","1","4","https://x.com/eddthinksdesign/status/1774471789336486146","2485368801","eddthinksdesign"
